------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |               Ritz    |  Rel. |     Aki    | Acc. |                 Ei           Ek                  | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |               Line  |
            Wavelength |            Wavelength |  Int. |     s^-1   |      |                (eV)         (eV)                 |                 |            |           |         |    |   Ref. |               Ref.  |
             Vac (nm)  |             Vac (nm)  |  (?)  |            |      |                                                  |                 |            |           |         |    |        |                     |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
      93.75483693      |      93.75483693      |       |            |      |    0.000000000000      -    [13.224298032]       |     1s - 6s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |          L15291c36  |
                       |      93.75483810      |       |  1.9733e+07| AA   |    0.000000000000      -    [13.224297869]       |     1s - 6p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
      94.94844906      |      94.94844906      |       |            |      |    0.000000000000      -    [13.058053268]       |     1s - 5d     |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |        |                     |
                       |      94.94845628      |       |  3.4384e+07| AA   |    0.000000000000      -    [13.058052274]       |     1s - 5p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |                     |
                       |      94.948464        |       |  4.1261e+06| AA   |    0.000000000000      -    [13.0580531]         |     1s - 5      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
      94.94847535      |      94.94847535      |       |            |      |    0.000000000000      -    [13.058049653]       |     1s - 5s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |          L15291c36  |
                       |      94.94847739      |       |  3.4384e+07| AA   |    0.000000000000      -    [13.058049370]       |     1s - 5p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
                       |      97.227204652     |       |  6.8205e+07| AA   |    0.000000000000      -     12.7520060868       |     1s - 4p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |                     |
                       |      97.227219        |       |  1.2788e+07| AA   |    0.000000000000      -    [12.7520068]         |     1s - 4      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |                     |
                       |      97.2272436947    |       |            |      |    0.000000000000      -     12.75200096611      |     1s - 4s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |      97.227247906     |       |  6.8204e+07| AA   |    0.000000000000      -     12.7520004137       |     1s - 4p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
                       |     102.544280991     |       |  1.6730e+08| AA   |    0.000000000000      -     12.090795250        |     1s - 3p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |                     |
                       |     102.54432         |       |  5.5766e+07| AA   |    0.000000000000      -    [12.090794]          |     1s - 3      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |                     |
                       |     102.544383955     |       |            |      |    0.000000000000      -     12.090783110        |     1s - 3s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |                     |
                       |     102.544395018     |       |  1.6730e+08| AA   |    0.000000000000      -     12.090781806        |     1s - 3p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
     121.53376         |     121.533755495     |       |  6.2665e+08| AA   |    0.000000000000      -     10.201625881        |     1s - 2p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |           L4843c28  |
     121.53379         |     121.53394         |       |  4.6999e+08| AA   |    0.000000000000      -    [10.201604]          |     1s - 2      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |              L4843  |
     121.534243879010  |     121.534243879010  |       |            |      |    0.000000000000      -     10.201584886324     |     1s - 2s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |              L7316  |
                       |     121.534296069     |       |  6.2666e+08| AA   |    0.000000000000      -     10.2015805055       |     1s - 2p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |               Ritz    |  Rel. |     Aki    | Acc. |                 Ei           Ek                  | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |               Line  |
            Wavelength |            Wavelength |  Int. |     s^-1   |      |                (eV)         (eV)                 |                 |            |           |         |    |   Ref. |               Ref.  |
             Air (nm)  |             Air (nm)  |  (?)  |            |      |                                                  |                 |            |           |         |    |        |                     |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     374.91047541      |       |            |      |   10.2015805055        -     13.507675349        |     2p - 12d    |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     374.910496        |       |            |      |   10.2015805055        -    [13.507675165]       |     2p - 12s    |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |     374.91074         |       |            |      |                                                  |                 |            |           |         |    |        |                c39  |
     374.910964269     |     374.910964269     |       |            |      |   10.201584886324      -     13.507675419080     |     2s - 12d    |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |        |             L11759  |
                       |     374.910972        |       |            |      |   10.201584886324      -    [13.507675355]       |     2s - 12p    |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
     374.910972209     |     374.910972209     |       |            |      |   10.201584886324      -     13.507675349        |     2s - 12d    |  2S  - 2D  | 1/2 - 3/2 |  2 - 4  | E2 |        |             L11759  |
                       |     374.910995        |       |            |      |   10.201584886324      -    [13.507675144]       |     2s - 12p    |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |     374.91314         |       |  2.8344e+04| AA   |  [10.201604]           -    [13.50767549]        |      2 - 12     |            |           |         |    |  T8637 |                c40  |
                       |     374.91561         |       |            |      |                                                  |                 |            |           |         |    |        |                c41  |
                       |     374.91561329      |       |            |      |   10.201625881         -     13.507675419080     |     2p - 12d    |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     374.91562121      |       |            |      |   10.201625881         -     13.507675349        |     2p - 12d    |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |        |                     |
                       |     374.915642        |       |            |      |   10.201625881         -    [13.507675165]       |     2p - 12s    |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |        |                     |
                       |     376.9577289       |       |            |      |   10.2015805055        -    [13.489720426]       |     2p - 11d    |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     376.957757        |       |            |      |   10.2015805055        -    [13.489720181]       |     2p - 11s    |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |     376.95799         |       |            |      |                                                  |                 |            |           |         |    |        |                c42  |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     376.958231        |       |            |      |   10.201584886324      -    [13.489720427]       |     2s - 11p    |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     376.958262        |       |            |      |   10.201584886324      -    [13.489720154]       |     2s - 11p    |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |     376.96042         |       |  4.3983e+04| AA   |  [10.201604]           -    [13.48972060]        |      2 - 11     |            |           |         |    |  T8637 |                c43  |
                       |     376.96292         |       |            |      |                                                  |                 |            |           |         |    |        |                c44  |
                       |     376.9629207       |       |            |      |   10.201625881         -    [13.489720516]       |     2p - 11d    |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     376.9629311       |       |            |      |   10.201625881         -    [13.489720426]       |     2p - 11d    |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |        |                     |
                       |     376.962959        |       |            |      |   10.201625881         -    [13.489720181]       |     2p - 11s    |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |        |                     |
                       |     379.68369103      |       |            |      |   10.2015805055        -    [13.46611359914]     |     2p - 10d    |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     379.683729        |       |            |      |   10.2015805055        -    [13.466113274]       |     2p - 10s    |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |     379.68396         |       |            |      |                                                  |                 |            |           |         |    |        |                c45  |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
     379.684186488     |     379.684186488     |       |            |      |   10.201584886324      -     13.46611372015      |     2s - 10d    |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |        |              L7369  |
                       |     379.684200        |       |            |      |   10.201584886324      -    [13.466113603]       |     2s - 10p    |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     379.684242        |       |            |      |   10.201584886324      -    [13.466113239]       |     2s - 10p    |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |     379.68643         |       |  7.1242e+04| AA   |  [10.201604]           -    [13.46611382]        |      2 - 10     |            |           |         |    |  T8637 |                c46  |
