------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |               Ritz    |  Rel. |     Aki    | Acc. |                 Ei           Ek                  | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |               Line  |
            Wavelength |            Wavelength |  Int. |     s^-1   |      |                (eV)         (eV)                 |                 |            |           |         |    |   Ref. |               Ref.  |
             Vac (nm)  |             Vac (nm)  |  (?)  |            |      |                                                  |                 |            |           |         |    |        |                     |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
     485.99645533      |     485.99645531      |       |  9.6707e+06| AA   |   10.201584886324      -     12.7520060868       |     2s - 4p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |             L10329  |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     485.99659630      |       |  8.5964e+05| AA   |   10.2015805055        -     12.75200096611      |     2p - 4s     |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
     485.997431106     |     485.997431106     |       |            |      |   10.201584886324      -     12.75200096611      |     2s - 4s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |              L9496  |
     485.99753638      |     485.99753637      |       |  9.6710e+06| AA   |   10.201584886324      -     12.7520004137       |     2s - 4p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |             L10329  |
     486.00013         |     486.00026         |       |  8.4217e+06| AA   |  [10.201604]           -    [12.7520068]         |      2 - 4      |            |           |         |    |  T8637 |  L46,L1890,c27,c64  |
     486.00385         |     486.00390886      |       |  2.0631e+07| AA   |   10.201625881         -     12.75200796839      |     2p - 4d     |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |  T8637 |      L46,L1890,c27  |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
     486.00392         |     486.00398         |       |            |      |                                                  |                 |            |           |         |    |        |  L46,L1890,c27,c65  |
                       |     486.0042691       |       |  3.4384e+06| AA   |   10.201625881         -    [12.7520060777]      |     2p - 4d     |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |  T8637 |                     |
                       |     486.00524321      |       |  1.7195e+06| AA   |   10.201625881         -     12.75200096611      |     2p - 4s     |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |  T8637 |                     |
     656.092450        |     656.092450        |       |  5.3892e+07| AA   |   10.2015805055        -     12.09079522         |     2p - 3d     |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |  T8637 |             L10167  |
                       |     656.0929          |       |            |      |                                                  |                 |            |           |         |    |        |                c67  |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     656.0937          |       |            |      |                                                  |                 |            |           |         |    |        |                c68  |
     656.0939602       |     656.0939602       |       |  2.2454e+07| AA   |   10.201584886324      -     12.090795250        |     2s - 3p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |              L6891  |
                       |     656.0966550       |       |  2.1052e+06| AA   |   10.2015805055        -     12.090783110        |     2p - 3s     |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
                       |     656.0981764       |       |            |      |   10.201584886324      -     12.090783110        |     2s - 3s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |                     |
                       |     656.0985          |       |            |      |                                                  |                 |            |           |         |    |        |                c66  |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
     656.0986294       |     656.0986294       |       |  2.2455e+07| AA   |   10.201584886324      -     12.090781806        |     2s - 3p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |              L6891  |
                       |     656.1010          |       |  4.4114e+07| AA   |  [10.201604]           -    [12.090794]          |      2 - 3      |            |           |         |    |  T8637 |                c69  |
     656.1066523       |     656.1066523       |       |  6.4668e+07| AA   |   10.201625881         -     12.09079970         |     2p - 3d     |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |  T8637 |             L10167  |
                       |     656.10681         |       |            |      |                                                  |                 |            |           |         |    |        |                c71  |
                       |     656.1069          |       |            |      |                                                  |                 |            |           |         |    |        |                c70  |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     656.108209        |       |  1.0778e+07| AA   |   10.201625881         -     12.09079522         |     2p - 3d     |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |  T8637 |                     |
     656.11236         |     656.1124140       |       |  4.2108e+06| AA   |   10.201625881         -     12.090783110        |     2p - 3s     |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |  T8637 |              L4840  |
                       |     874.8021375       |       |            |      |   12.090781806         -     13.507675349        |     3p - 12d    |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     874.802940        |       |            |      |   12.090783110         -    [13.507675355]       |     3s - 12p    |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     874.803070        |       |            |      |   12.090783110         -    [13.507675144]       |     3s - 12p    |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     874.8103950       |       |            |      |   12.090795250         -     13.507675419080     |     3p - 12d    |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |        |                     |
                       |     874.8104382       |       |            |      |   12.090795250         -     13.507675349        |     3p - 12d    |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |        |                     |
                       |     886.029985        |       |            |      |   12.090781806         -    [13.489720426]       |     3p - 11d    |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     886.030810        |       |            |      |   12.090783110         -    [13.489720427]       |     3s - 11p    |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     886.030982        |       |            |      |   12.090783110         -    [13.489720154]       |     3s - 11p    |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     886.038442        |       |            |      |   12.090795250         -    [13.489720516]       |     3p - 11d    |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |        |                     |
                       |     886.038500        |       |            |      |   12.090795250         -    [13.489720426]       |     3p - 11d    |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |        |                     |
                       |     901.2382703       |       |            |      |   12.090781806         -    [13.46611359914]     |     3p - 10d    |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     901.239122        |       |            |      |   12.090783110         -    [13.466113603]       |     3s - 10p    |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     901.239361        |       |            |      |   12.090783110         -    [13.466113239]       |     3s - 10p    |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     901.2470011       |       |            |      |   12.090795250         -     13.46611372015      |     3p - 10d    |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |        |                     |
                       |     901.2470805       |       |            |      |   12.090795250         -    [13.46611359914]     |     3p - 10d    |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |        |                     |
                       |     922.642518        |       |            |      |   12.090781806         -    [13.434207599]       |     3p - 9d     |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     922.643410        |       |            |      |   12.090783110         -    [13.434207604]       |     3s - 9p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     922.643751        |       |            |      |   12.090783110         -    [13.434207106]       |     3s - 9p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     922.651638        |       |            |      |   12.090795250         -    [13.434207764]       |     3p - 9d     |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |        |                     |
                       |     922.651751        |       |            |      |   12.090795250         -    [13.434207599]       |     3p - 9d     |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |        |                     |
                       |     954.3289817       |       |            |      |   12.090781806         -     13.389602158235     |     3p - 8d     |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     954.3299392       |       |            |      |   12.090783110         -    [13.38960215929]     |     3s - 8p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |     954.3304604       |       |            |      |   12.090783110         -    [13.38960145015]     |     3s - 8p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     954.3386867       |       |            |      |   12.090795250         -     13.389602394575     |     3p - 8d     |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |        |                     |
                       |     954.3388605       |       |            |      |   12.090795250         -     13.389602158235     |     3p - 8d     |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |        |                     |
                       |    1004.654501        |       |            |      |   12.090781806         -    [13.324541382]       |     3p - 7d     |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |    1004.655566        |       |            |      |   12.090783110         -    [13.324541379]       |     3s - 7p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |    1004.656428        |       |            |      |   12.090783110         -    [13.324540322]       |     3s - 7p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |    1004.665162        |       |            |      |   12.090795250         -    [13.324541735]       |     3p - 7d     |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |        |                     |
                       |    1004.665449        |       |            |      |   12.090795250         -    [13.324541382]       |     3p - 7d     |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |        |                     |
                       |    1093.500655        |       |  1.5653e+06| AA   |   12.090781806         -    [13.224299562]       |     3p - 6d     |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |  T8637 |                     |
                       |    1093.50193         |       |  9.5534e+05| AA   |   12.090783110         -    [13.224299550]       |     3s - 6p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |                     |
                       |    1093.502130        |       |  1.6911e+05| AA   |   12.090781806         -    [13.224298032]       |     3p - 6s     |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |    1093.50355         |       |  9.5537e+05| AA   |   12.090783110         -    [13.224297869]       |     3s - 6p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
                       |    1093.513061        |       |  2.0035e+06| AA   |   12.09079522          -    (13.224300115174)    |     3d - 6f     |  2D  - 2F* | 3/2 - 5/2 |  4 - 6  |    |  T8637 |                     |
                       |    1093.513084        |       |  1.8783e+06| AA   |   12.090795250         -    [13.224300123]       |     3p - 6d     |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |  T8637 |                     |
                       |    1093.513608        |       |  7.8263e+03| AA   |   12.09079522          -    [13.224299550]       |     3d - 6p     |  2D  - 2P* | 3/2 - 3/2 |  4 - 4  |    |  T8637 |                     |
                       |    1093.513624        |       |  3.1305e+05| AA   |   12.090795250         -    [13.224299562]       |     3p - 6d     |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |  T8637 |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |    1093.515100        |       |  3.3824e+05| AA   |   12.090795250         -    [13.224298032]       |     3p - 6s     |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |  T8637 |                     |
                       |    1093.515228        |       |  7.8275e+04| AA   |   12.09079522          -    [13.224297869]       |     3d - 6p     |  2D  - 2P* | 3/2 - 1/2 |  4 - 2  |    |  T8637 |                     |
                       |    1093.517114        |       |  2.1466e+06| AA   |   12.09079970          -    (13.224300395271)    |     3d - 6f     |  2D  - 2F* | 5/2 - 7/2 |  6 - 8  |    |  T8637 |                     |
                       |    1093.517384        |       |  1.4311e+05| AA   |   12.09079970          -    (13.224300115174)    |     3d - 6f     |  2D  - 2F* | 5/2 - 5/2 |  6 - 6  |    |  T8637 |                     |
                       |    1093.517929        |       |  7.0440e+04| AA   |   12.09079970          -    [13.224299550]       |     3d - 6p     |  2D  - 2P* | 5/2 - 3/2 |  6 - 4  |    |  T8637 |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |    1281.443871        |       |  2.8270e+06| AA   |   12.090781806         -    [13.058052299]       |     3p - 5d     |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |  T8637 |                     |
                       |    1281.44563         |       |  1.6381e+06| AA   |   12.090783110         -    [13.058052274]       |     3s - 5p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |                     |
                       |    1281.44738         |       |  3.0165e+05| AA   |   12.090781806         -    [13.058049653]       |     3p - 5s     |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
                       |    1281.44948         |       |  1.6382e+06| AA   |   12.090783110         -    [13.058049370]       |     3s - 5p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
                       |    1281.460382        |       |  4.2405e+06| AA   |   12.09079522          -    (13.058053249705)    |     3d - 5f     |  2D  - 2F* | 3/2 - 5/2 |  4 - 6  |    |  T8637 |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |    1281.460400        |       |  3.3924e+06| AA   |   12.090795250         -    [13.058053268]       |     3p - 5d     |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |  T8637 |                     |
                       |    1281.46168         |       |  1.4958e+04| AA   |   12.09079522          -    [13.058052274]       |     3d - 5p     |  2D  - 2P* | 3/2 - 3/2 |  4 - 4  |    |  T8637 |                     |
                       |    1281.461682        |       |  5.6540e+05| AA   |   12.090795250         -    [13.058052299]       |     3p - 5d     |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |  T8637 |                     |
                       |    1281.46519         |       |  6.0336e+05| AA   |   12.090795250         -    [13.058049653]       |     3p - 5s     |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |  T8637 |                     |
                       |    1281.46552         |       |  1.4960e+05| AA   |   12.09079522          -    [13.058049370]       |     3d - 5p     |  2D  - 2P* | 3/2 - 1/2 |  4 - 2  |    |  T8637 |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |    1281.465677        |       |  4.5434e+06| AA   |   12.09079970          -    (13.058053733710)    |     3d - 5f     |  2D  - 2F* | 5/2 - 7/2 |  6 - 8  |    |  T8637 |                     |
                       |    1281.466319        |       |  3.0289e+05| AA   |   12.09079970          -    (13.058053249705)    |     3d - 5f     |  2D  - 2F* | 5/2 - 5/2 |  6 - 6  |    |  T8637 |                     |
                       |    1281.46761         |       |  1.3463e+05| AA   |   12.09079970          -    [13.058052274]       |     3d - 5p     |  2D  - 2P* | 5/2 - 3/2 |  6 - 4  |    |  T8637 |                     |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
