---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |                Ritz    |    Rel. |     Aki    | Acc. |                 Ei           Ek                   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |       Line  |
             Wavelength |             Wavelength |    Int. |     s^-1   |      |                (eV)         (eV)                  |                 |            |           |         |    |   Ref. |       Ref.  |
              Vac (nm)  |              Vac (nm)  |    (?)  |            |      |                                                   |                 |            |           |         |    |        |             |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
      91.8130           |      91.81293046       |         |            |      |    0.0000000000000     -    [13.504001009]        |     1s - 12p    |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |      L8445  |
      91.8130           |      91.81293188       |         |            |      |    0.0000000000000     -    [13.504000799]        |     1s - 12p    |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |      L8445  |
      91.9342           |      91.9351348        |    6100 |  7.8340e+04| AAA  |    0.0000000000000     -     13.48605109          |     1s - 11     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |      L8834  |
      91.9349           |      91.93513418       |         |            |      |    0.0000000000000     -    [13.486050970]        |     1s - 11p    |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |      L8445  |
      91.9349           |      91.93513604       |         |            |      |    0.0000000000000     -    [13.486050697]        |     1s - 11p    |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |      L8445  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
      91.935133578      |      91.935133578      |         |            |      |    0.0000000000000     -    [13.4860510588]       |     1s - 11d    |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |        |  L15291c37  |
      91.93513586       |      91.93513586       |         |            |      |    0.0000000000000     -    [13.486050724]        |     1s - 11s    |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |  L15291c36  |
      92.0947           |      92.0963022        |    7400 |  1.2631e+05| AAA  |    0.0000000000000     -     13.46245070          |     1s - 10     |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |      L8834  |
      92.09630369       |      92.09630369       |         |            |      |    0.0000000000000     -    [13.462450238]        |     1s - 10s    |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |  L15291c36  |
      92.0970           |      92.09630145       |         |            |      |    0.0000000000000     -    [13.462450565]        |     1s - 10p    |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |      L8445  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
      92.0970           |      92.09630393       |         |            |      |    0.0000000000000     -    [13.462450202]        |     1s - 10p    |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |      L8445  |
